Time,CH B,
2.41621E+1,-2.57256E-1,
2.42121E+1,-3.37256E-1,
2.42621E+1,-2.57256E-1,
2.43122E+1,-3.37256E-1,
2.43622E+1,-2.65256E-1,
2.44122E+1,-3.37256E-1,
2.44622E+1,-2.65256E-1,
2.45123E+1,-3.37256E-1,
2.45623E+1,-2.65256E-1,
2.46123E+1,-3.37256E-1,
2.46623E+1,-2.65256E-1,
2.47124E+1,-3.29256E-1,
2.47624E+1,-2.65256E-1,
2.48124E+1,-3.29256E-1,
2.48624E+1,-2.65256E-1,
2.49125E+1,-3.37256E-1,
2.49625E+1,-2.65256E-1,
2.50125E+1,-3.45256E-1,
2.50625E+1,-2.65256E-1,
2.51126E+1,-3.45256E-1,
2.51626E+1,-2.65256E-1,
2.52126E+1,-3.37256E-1,
2.52626E+1,-2.09256E-1,
2.53127E+1,-3.45256E-1,
2.53627E+1,-2.01256E-1,
2.54127E+1,-3.37256E-1,
2.54627E+1,-2.65256E-1,
2.55128E+1,-3.45256E-1,
2.55628E+1,-2.65256E-1,
2.56128E+1,-3.37256E-1,
2.56628E+1,-2.65256E-1,
2.57129E+1,-3.37256E-1,
2.57629E+1,-1.69256E-1,
2.58129E+1,-3.45256E-1,
2.58629E+1,-2.65256E-1,
2.5913E+1,-3.45256E-1,
2.5963E+1,-2.33256E-1,
2.6013E+1,-3.37256E-1,
2.6063E+1,-2.73256E-1,
2.61131E+1,-3.45256E-1,
2.61631E+1,-1.29256E-1,
2.62131E+1,-3.37256E-1,
2.62631E+1,-2.73256E-1,
2.63132E+1,-3.45256E-1,
2.63632E+1,-2.73256E-1,
2.64132E+1,-3.53256E-1,
2.64632E+1,-2.49256E-1,
2.65133E+1,-3.61256E-1,
2.65633E+1,-2.73256E-1,
2.66133E+1,-3.85256E-1,
2.66633E+1,-3.05256E-1,
2.67134E+1,-3.93256E-1,
2.67634E+1,-2.81256E-1,
2.68134E+1,-3.69256E-1,
2.68634E+1,-2.81256E-1,
2.69135E+1,-3.61256E-1,
2.69635E+1,-2.81256E-1,
2.70135E+1,-3.53256E-1,
2.70635E+1,-2.81256E-1,
2.71136E+1,-3.61256E-1,
2.71636E+1,-2.81256E-1,
2.72136E+1,-3.53256E-1,
2.72636E+1,-1.45256E-1,
2.73137E+1,-3.45256E-1,
2.73637E+1,-2.81256E-1,
2.74137E+1,-3.53256E-1,
2.74637E+1,-2.81256E-1,
2.75138E+1,-3.53256E-1,
2.75638E+1,-2.81256E-1,
2.76138E+1,-3.53256E-1,
2.76638E+1,-2.81256E-1,
2.77139E+1,-3.45256E-1,
2.77639E+1,-2.41256E-1,
2.78139E+1,-3.53256E-1,
2.78639E+1,-2.81256E-1,
2.7914E+1,-3.53256E-1,
2.7964E+1,-2.25256E-1,
2.8014E+1,-3.53256E-1,
2.8064E+1,-2.81256E-1,
2.81141E+1,-3.61256E-1,
2.81641E+1,-2.49256E-1,
2.82141E+1,-3.61256E-1,
2.82641E+1,-2.41256E-1,
2.83142E+1,-3.61256E-1,
2.83642E+1,-2.89256E-1,
2.84142E+1,-3.69256E-1,
2.84642E+1,-2.89256E-1,
2.85143E+1,-3.69256E-1,
2.85643E+1,-2.97256E-1,
2.86143E+1,-3.69256E-1,
2.86643E+1,-2.97256E-1,
2.87144E+1,-3.69256E-1,
2.87644E+1,-2.97256E-1,
2.88144E+1,-3.77256E-1,
2.88644E+1,-3.05256E-1,
2.89145E+1,-3.77256E-1,
2.89645E+1,-3.13256E-1,
2.90145E+1,-3.77256E-1,
2.90645E+1,-3.13256E-1,
2.91146E+1,-3.85256E-1,
2.91646E+1,-3.13256E-1,
2.92146E+1,-3.85256E-1,
2.92646E+1,-3.21256E-1,
2.93147E+1,-3.85256E-1,
2.93647E+1,-3.21256E-1,
2.94147E+1,-3.85256E-1,
2.94647E+1,-3.21256E-1,
2.95148E+1,-3.93256E-1,
2.95648E+1,-3.21256E-1,
2.96148E+1,-3.93256E-1,
2.96648E+1,-3.21256E-1,
2.97149E+1,-3.93256E-1,
2.97649E+1,-3.21256E-1,
2.98149E+1,-3.85256E-1,
2.98649E+1,-3.29256E-1,
2.9915E+1,-3.93256E-1,
2.9965E+1,-3.29256E-1,
