[s],CH2[V]
-1.9875E-03,-9.222E-02
-1.9850E-03,-9.222E-02
-1.9825E-03,-9.222E-02
-1.9800E-03,-5.222E-02
-1.9775E-03,-9.222E-02
-1.9750E-03,-9.222E-02
-1.9725E-03,-5.222E-02
-1.9700E-03,-9.222E-02
-1.9675E-03,-9.222E-02
-1.9650E-03,-9.222E-02
-1.9625E-03,-5.222E-02
-1.9600E-03,-9.222E-02
-1.9575E-03,-9.222E-02
-1.9550E-03,-1.322E-01
-1.9525E-03,-9.222E-02
-1.9500E-03,-9.222E-02
-1.9475E-03,-9.222E-02
-1.9450E-03,-9.222E-02
-1.9425E-03,-5.222E-02
-1.9400E-03,-9.222E-02
-1.9375E-03,-9.222E-02
-1.9350E-03,-9.222E-02
-1.9325E-03,-9.222E-02
-1.9300E-03,-9.222E-02
-1.9275E-03,-9.222E-02
-1.9250E-03,-9.222E-02
-1.9225E-03,-9.222E-02
-1.9200E-03,-9.222E-02
-1.9175E-03,-9.222E-02
-1.9150E-03,-9.222E-02
-1.9125E-03,-5.222E-02
-1.9100E-03,-9.222E-02
-1.9075E-03,-9.222E-02
-1.9050E-03,-9.222E-02
-1.9025E-03,-5.222E-02
-1.9000E-03,-9.222E-02
-1.8975E-03,-9.222E-02
-1.8950E-03,-9.222E-02
-1.8925E-03,-5.222E-02
-1.8900E-03,-9.222E-02
-1.8875E-03,-9.222E-02
-1.8850E-03,-9.222E-02
-1.8825E-03,-9.222E-02
-1.8800E-03,-5.222E-02
-1.8775E-03,-9.222E-02
-1.8750E-03,-9.222E-02
-1.8725E-03,-9.222E-02
-1.8700E-03,-9.222E-02
-1.8675E-03,-1.322E-01
-1.8650E-03,-1.322E-01
-1.8625E-03,-9.222E-02
-1.8600E-03,-9.222E-02
-1.8575E-03,-9.222E-02
-1.8550E-03,-9.222E-02
-1.8525E-03,-9.222E-02
-1.8500E-03,-9.222E-02
-1.8475E-03,-1.322E-01
-1.8450E-03,-9.222E-02
-1.8425E-03,-5.222E-02
-1.8400E-03,-5.222E-02
-1.8375E-03,-9.222E-02
-1.8350E-03,-9.222E-02
-1.8325E-03,-9.222E-02
-1.8300E-03,-9.222E-02
-1.8275E-03,-9.222E-02
-1.8250E-03,-9.222E-02
-1.8225E-03,-5.222E-02
-1.8200E-03,-9.222E-02
-1.8175E-03,-9.222E-02
-1.8150E-03,-9.222E-02
-1.8125E-03,-9.222E-02
-1.8100E-03,6.278E-01
-1.8075E-03,-1.222E-02
-1.8050E-03,-9.222E-02
-1.8025E-03,-9.222E-02
-1.8000E-03,-9.222E-02
-1.7975E-03,-9.222E-02
-1.7950E-03,-9.222E-02
-1.7925E-03,-5.222E-02
-1.7900E-03,-5.222E-02
-1.7875E-03,-9.222E-02
-1.7850E-03,-9.222E-02
-1.7825E-03,-9.222E-02
-1.7800E-03,-9.222E-02
-1.7775E-03,-5.222E-02
-1.7750E-03,-9.222E-02
-1.7725E-03,-9.222E-02
-1.7700E-03,-9.222E-02
-1.7675E-03,-9.222E-02
-1.7650E-03,-9.222E-02
-1.7625E-03,-9.222E-02
-1.7600E-03,-5.222E-02
-1.7575E-03,-9.222E-02
-1.7550E-03,-5.222E-02
-1.7525E-03,-9.222E-02
-1.7500E-03,-9.222E-02
-1.7475E-03,-9.222E-02
-1.7450E-03,-9.222E-02
-1.7425E-03,-1.222E-02
-1.7400E-03,-9.222E-02
-1.7375E-03,-9.222E-02
-1.7350E-03,-9.222E-02
-1.7325E-03,-9.222E-02
-1.7300E-03,-9.222E-02
-1.7275E-03,-9.222E-02
-1.7250E-03,-9.222E-02
-1.7225E-03,-9.222E-02
-1.7200E-03,-5.222E-02
-1.7175E-03,-5.222E-02
-1.7150E-03,-9.222E-02
-1.7125E-03,-9.222E-02
-1.7100E-03,-9.222E-02
-1.7075E-03,-9.222E-02
-1.7050E-03,-5.222E-02
-1.7025E-03,-9.222E-02
-1.7000E-03,-9.222E-02
-1.6975E-03,-9.222E-02
-1.6950E-03,-1.322E-01
-1.6925E-03,-9.222E-02
-1.6900E-03,-5.222E-02
-1.6875E-03,-5.222E-02
-1.6850E-03,-9.222E-02
-1.6825E-03,-1.222E-02
-1.6800E-03,3.878E-01
-1.6775E-03,-5.222E-02
-1.6750E-03,-5.222E-02
-1.6725E-03,-9.222E-02
-1.6700E-03,-5.222E-02
-1.6675E-03,1.878E-01
-1.6650E-03,-1.222E-02
-1.6625E-03,-5.222E-02
-1.6600E-03,-9.222E-02
-1.6575E-03,-9.222E-02
-1.6550E-03,-9.222E-02
-1.6525E-03,-9.222E-02
-1.6500E-03,-9.222E-02
-1.6475E-03,1.878E-01
-1.6450E-03,-9.222E-02
-1.6425E-03,-5.222E-02
-1.6400E-03,-5.222E-02
-1.6375E-03,-9.222E-02
-1.6350E-03,-9.222E-02
-1.6325E-03,-9.222E-02
-1.6300E-03,-9.222E-02
-1.6275E-03,-9.222E-02
-1.6250E-03,-9.222E-02
-1.6225E-03,-9.222E-02
-1.6200E-03,-5.222E-02
-1.6175E-03,-5.222E-02
-1.6150E-03,-9.222E-02
-1.6125E-03,-9.222E-02
-1.6100E-03,-9.222E-02
-1.6075E-03,-9.222E-02
-1.6050E-03,-9.222E-02
-1.6025E-03,-9.222E-02
-1.6000E-03,-9.222E-02
-1.5975E-03,-9.222E-02
-1.5950E-03,-9.222E-02
-1.5925E-03,-9.222E-02
-1.5900E-03,-5.222E-02
-1.5875E-03,-9.222E-02
-1.5850E-03,-9.222E-02
-1.5825E-03,-9.222E-02
-1.5800E-03,-9.222E-02
-1.5775E-03,-5.222E-02
-1.5750E-03,-9.222E-02
-1.5725E-03,-9.222E-02
-1.5700E-03,-9.222E-02
-1.5675E-03,-5.222E-02
-1.5650E-03,-9.222E-02
-1.5625E-03,-9.222E-02
-1.5600E-03,-9.222E-02
-1.5575E-03,-5.222E-02
-1.5550E-03,-9.222E-02
-1.5525E-03,-9.222E-02
-1.5500E-03,-5.222E-02
-1.5475E-03,-9.222E-02
-1.5450E-03,-9.222E-02
-1.5425E-03,-5.222E-02
-1.5400E-03,-5.222E-02
-1.5375E-03,-9.222E-02
-1.5350E-03,-5.222E-02
-1.5325E-03,-5.222E-02
-1.5300E-03,-9.222E-02
-1.5275E-03,-9.222E-02
-1.5250E-03,-5.222E-02
-1.5225E-03,-9.222E-02
-1.5200E-03,-5.222E-02
-1.5175E-03,-5.222E-02
-1.5150E-03,-9.222E-02
-1.5125E-03,-9.222E-02
-1.5100E-03,-9.222E-02
-1.5075E-03,-9.222E-02
-1.5050E-03,-5.222E-02
-1.5025E-03,-9.222E-02
-1.5000E-03,-9.222E-02
