Time,CH A,CH B,
4.23212E-3,-2.0362E-1,-2.15713E+0,
4.24212E-3,-3.6362E-1,-2.27713E+0,
4.25213E-3,-2.0362E-1,-2.15713E+0,
4.26213E-3,-3.6362E-1,-2.31713E+0,
4.27214E-3,-2.0362E-1,-2.15713E+0,
4.28214E-3,-3.6362E-1,-2.31713E+0,
4.29215E-3,-1.2362E-1,-2.19713E+0,
4.30215E-3,-3.6362E-1,-2.31713E+0,
4.31216E-3,-1.2362E-1,-2.19713E+0,
4.32216E-3,-3.6362E-1,-2.35713E+0,
4.33217E-3,-1.2362E-1,-2.23713E+0,
4.34217E-3,-3.6362E-1,-2.35713E+0,
4.35218E-3,-1.2362E-1,-2.23713E+0,
4.36218E-3,-3.6362E-1,-2.35713E+0,
4.37219E-3,-1.2362E-1,-2.23713E+0,
4.38219E-3,-3.6362E-1,-2.35713E+0,
4.3922E-3,-1.2362E-1,-2.23713E+0,
4.4022E-3,-2.8362E-1,-2.39713E+0,
4.41221E-3,-1.2362E-1,-2.27713E+0,
4.42221E-3,-2.8362E-1,-2.39713E+0,
4.43222E-3,-1.2362E-1,-2.27713E+0,
4.44222E-3,-2.8362E-1,-2.43713E+0,
4.45223E-3,-1.2362E-1,-2.27713E+0,
4.46223E-3,-2.8362E-1,-2.43713E+0,
4.47224E-3,-1.2362E-1,-2.27713E+0,
4.48224E-3,-2.8362E-1,-2.43713E+0,
4.49225E-3,-1.2362E-1,-2.31713E+0,
4.50225E-3,-2.8362E-1,-2.43713E+0,
4.51226E-3,-4.362E-2,-2.31713E+0,
4.52226E-3,-2.8362E-1,-2.47713E+0,
4.53227E-3,-4.362E-2,-2.31713E+0,
4.54227E-3,-2.8362E-1,-2.47713E+0,
4.55228E-3,-4.362E-2,-2.35713E+0,
4.56228E-3,-2.8362E-1,-2.47713E+0,
4.57229E-3,-4.362E-2,-2.35713E+0,
4.58229E-3,-2.8362E-1,-2.47713E+0,
4.5923E-3,-4.362E-2,-2.35713E+0,
4.6023E-3,-2.8362E-1,-2.51713E+0,
4.61231E-3,-4.362E-2,-2.39713E+0,
4.62231E-3,-2.8362E-1,-2.47713E+0,
