Vernier Format 2
B.cmbl 26.09.2019 12:47:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

186,5	56,055358684	0,529915	0,128205	1370,25221736	0,904213096173
187	56,316170772	0,512821	0,141636	1374,43644253	0,901460381625
187,5	56,838329399	0,556777	0,135531	1382,72779585	0,896054887821
188	57,099141487	0,555556	0,15873	1386,82626564	0,893406788362
188,5	57,621300114	0,537241	0,150183	1394,94516277	0,888206958287
189	57,947315224	0,496947	0,148962	1399,95557299	0,885028085106
189,5	58,469473851	0,474969	0,151404	1407,88594263	0,88004288024
190	58,73082039	0,484737	0,145299	1411,81131836	0,877596024264
190,5	59,252444566	0,457875	0,142857	1419,55811254	0,872806818584
191	59,578994127	0,492063	0,145299	1424,34795279	0,86987171749
191,5	60,0357893967	0,512821	0,136752	1430,97057993	0,865845893253
192	60,3620717322	0,529915	0,139194	1435,6453655	0,863026503463
192,5	60,6883540677	0,474969	0,123321	1440,27359376	0,860253222282
193	61,1451493374	0,462759	0,124542	1446,67461156	0,856446909414
193,5	61,4061752058	0,467643	0,123321	1450,2910768	0,85431126194
194	61,9282269426	0,47619	0,129426	1457,43363081	0,850124474836
194,5	62,189252811	0,454212	0,13431	1460,95957134	0,848072749108
195	62,7765610149	0,461538	0,135531	1468,78196188	0,843556111223
195,5	63,0375868833	0,456654	0,129426	1472,20909128	0,841592411932
196	63,5596386201	0,449328	0,144078	1478,97161283	0,837744273959
